university,college_code,college_name,choice_code,course,intake,cap_seats,si_seats,ms_seats,all_india_seats,minority_seats,institute_seats,hu_open,hu_sc,hu_st,hu_vjdt,hu_ntb,hu_ntc,hu_ntd,hu_obc,hu_sebc,ohu_open,ohu_sc,ohu_st,ohu_vjdt,ohu_ntb,ohu_ntc,ohu_ntd,ohu_obc,ohu_sebc,pwd_total,ews_seats,tfws_choice_code,tfws_seats
Dr. Babasaheb Ambedkar Marathwada University,2001,"Dr. B. A. M.University Dept. Of Management Science, Aurangabad",0200110110,M. B. A.,60,16,12,4,0,0,0,4,0,1,0,0,0,0,1,1,2,0,1,0,0,0,0,2,0,0,5,0200110111,1
Dr. Babasaheb Ambedkar Marathwada University,2002,"Dr. Babasaheb Ambedkar Marathwada University, Sub Centre, Osmanabad",0200210110,M. B. A.,60,28,24,4,0,0,0,1,1,1,0,0,2,1,7,4,3,0,0,0,0,1,0,1,1,1,5,0200210111,0
Dr. Babasaheb Ambedkar Marathwada University,2102,"Rajarshi Shahu Institute of Management, Aurangabad",0210210110,M. B. A.,180,80,65,15,0,0,0,0,5,3,1,0,2,2,14,9,3,4,4,1,0,1,1,7,5,1,16,0210210111,1
Dr. Babasaheb Ambedkar Marathwada University,2104,"Aditya College of MBA, Beed",0210410110,M. B. A.,180,106,85,21,0,0,0,1,13,7,3,3,4,2,20,10,0,3,3,0,0,2,0,6,4,2,14,0210410111,2
Dr. Babasaheb Ambedkar Marathwada University,2104,"Aditya College of MBA, Beed",0210416510,M.B.A.(Marketing Management),60,33,31,2,0,0,0,0,5,2,2,0,1,0,7,4,0,2,1,0,1,1,0,3,1,1,4,0210416511,0
Dr. Babasaheb Ambedkar Marathwada University,2106,"Lokvikas Educational & Charitable Trust's Marathwada Institute of Management and Research, Aurangabad",0210610110,M. B. A.,60,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0210610111,1
Dr. Babasaheb Ambedkar Marathwada University,2108,"Adarsh Shikshan Prasarak Mandal's K.T. Patil College of MBA, Osmanabad",0210810110,M. B. A.,60,2,2,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0210810111,2
Dr. Babasaheb Ambedkar Marathwada University,2110,"Nirmal Krida and Samaj Prabhodhan Trust, Institute of Management, Badnapur",0211010110,M. B. A.,120,8,7,1,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,11,0211010111,0
Dr. Babasaheb Ambedkar Marathwada University,2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",0211210110,M. B. A.,60,32,28,4,0,0,0,2,1,3,1,0,1,1,5,3,1,2,1,1,0,1,0,2,2,1,6,0211210111,1
Dr. Babasaheb Ambedkar Marathwada University,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",0211310110,M. B. A.,60,8,8,0,0,0,0,3,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0211310111,0
Dr. Babasaheb Ambedkar Marathwada University,2114,"Deogiri Institute of Engineering and Management Studies, Aurangabad",0211410110,M. B. A.,180,5,5,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0211410111,1
Dr. Babasaheb Ambedkar Marathwada University,2136,"Aditya Engineering College , Beed",0213610110,M. B. A.,360,327,276,51,0,0,0,59,27,14,6,6,7,5,38,21,26,12,7,2,3,4,1,18,9,6,34,0213610111,16
Dr. Babasaheb Ambedkar Marathwada University,2138,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",0213810110,M. B. A.,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0213810111,0
Dr. Babasaheb Ambedkar Marathwada University,2256,"Foster Development School of Management, Aurangabad",0225610110,M. B. A.,60,12,12,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,1,0,1,0,2,1,0,5,0225610111,0
Dr. Babasaheb Ambedkar Marathwada University,2259,"Shri Sai Institute of Management & Research, Aurangabad",0225910110,M. B. A.,60,49,40,9,0,0,0,8,4,3,2,0,2,0,7,3,2,2,1,0,1,0,1,2,2,0,6,0225910111,2
Dr. Babasaheb Ambedkar Marathwada University,2516,International Centre Of Excellence In Engineering and Management (ICEEM),0251610110,M. B. A.,120,51,47,4,0,0,0,0,2,1,1,2,1,2,11,6,3,4,2,1,0,2,0,6,3,0,12,0251610111,1
Dr. Babasaheb Ambedkar Marathwada University,2569,"Suraj Institute of Management, Beed",0256910110,M. B. A.,60,28,28,0,0,0,0,0,5,2,1,1,1,1,7,3,0,0,1,1,0,0,1,3,1,0,4,0256910111,3
Dr. Babasaheb Ambedkar Marathwada University,2569,"Suraj Institute of Management, Beed",0256916410,M.B.A.(Human Resource Management),60,23,23,0,0,0,0,0,0,2,1,1,2,0,7,4,0,0,1,0,1,0,0,3,1,0,4,0256916411,3
Dr. Babasaheb Ambedkar Marathwada University,2569,"Suraj Institute of Management, Beed",0256916510,M.B.A.(Marketing Management),60,26,26,0,0,0,0,0,1,3,1,1,0,1,7,3,0,1,1,1,0,0,1,3,2,0,4,0256916511,2
Dr. Babasaheb Ambedkar Marathwada University,2570,"Mitthulalji Sarda MBA College, Beed",0257010110,M. B. A.,120,80,65,15,0,0,0,3,10,5,3,1,3,1,13,7,0,3,2,1,1,2,0,4,4,2,8,0257010111,6
Dr. Babasaheb Ambedkar Marathwada University,2570,"Mitthulalji Sarda MBA College, Beed",0257016510,M.B.A.(Marketing Management),120,102,85,17,0,0,0,19,9,5,2,2,2,2,14,7,3,4,2,0,1,1,1,6,3,2,12,0257016511,6
Dr. Babasaheb Ambedkar Marathwada University,2570,"Mitthulalji Sarda MBA College, Beed",0257062910,MBA ( Finance ),120,103,86,17,0,0,0,18,9,5,2,2,3,1,13,8,5,4,2,1,1,1,0,6,3,2,12,0257062911,6
Dr. Babasaheb Ambedkar Marathwada University,2571,"Kishori College of M.B.A., Beed",0257110110,M. B. A.,120,91,75,16,0,0,0,10,9,5,2,2,3,1,13,8,2,4,2,1,1,1,1,5,3,2,9,0257110111,5
Dr. Babasaheb Ambedkar Marathwada University,2571,"Kishori College of M.B.A., Beed",0257116510,M.B.A.(Marketing Management),120,88,71,17,0,0,0,7,9,5,2,2,2,2,14,7,1,4,2,1,1,1,0,6,3,2,10,0257116511,6
Dr. Babasaheb Ambedkar Marathwada University,2571,"Kishori College of M.B.A., Beed",0257162910,MBA ( Finance ),120,87,72,15,0,0,0,9,9,5,2,2,2,1,14,7,0,4,2,1,1,1,1,6,3,2,10,0257162911,5
Dr. Babasaheb Ambedkar Marathwada University,2622,"Jay Bhavani Institute of Management, Badnapur, Jalna",0262210110,M. B. A.,120,15,15,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,6,3,0,11,0262210111,0
Dr. Babasaheb Ambedkar Marathwada University,2623,"Shreeyash Institute of Management Studies and Research, Aurangabad",0262310110,M. B. A.,120,82,72,10,0,0,0,6,10,5,2,2,1,1,13,6,5,4,2,1,1,1,1,6,3,2,12,0262310111,0
Dr. Babasaheb Ambedkar Marathwada University,2624,"U. D. Pathrikar Institute of Management, At.Post Pathri, Aurangabad",0262410110,M. B. A.,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0262410111,0
Dr. Babasaheb Ambedkar Marathwada University,2625,"VSS Dr.Shivaji Madan Institute of Management, Jalna",0262510110,M. B. A.,120,26,23,3,0,0,0,1,1,1,1,0,2,0,3,1,0,0,2,0,1,1,0,6,3,0,4,,0
Dr. Babasaheb Ambedkar Marathwada University,2664,"Deogiri College, Chh. Sambhaji Nagar",0266410110,M. B. A.,120,12,8,4,0,0,0,0,1,0,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,9,0266410111,0
Dr. Babasaheb Ambedkar Marathwada University,2672,ARTS SCIENCE AND COMMERCE COLLEGE,0267210170U,M. B. A.,120,64,49,15,0,24,0,1,4,3,2,2,2,0,11,5,3,3,2,0,1,1,1,4,2,2,12,0267210171,0
Dr. Babasaheb Ambedkar Marathwada University,2775,U.D.PATHRIKAR SCHOOL OF BUSINESS MANAGEMENT,0277510110,M. B. A.,120,9,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,0,10,0277510111,0
"Dr. Babasaheb Ambedkar Technological University,Lonere",3033,"Dr. Babasaheb Ambedkar Technological University, Lonere",0303363110,"MBA - Innovation, Entrepreneurship and Venture Development (IEV)",30,29,25,4,0,0,0,10,3,2,1,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,3,,0
"Dr. Homi Bhabha State University, Mumbai",3002,"Sydenham Institute of Management Studies & Research & Entrepreneurship Education(SIMSREE), Mumbai",0300210210,M. M. S.,180,11,10,1,0,0,0,2,0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0300210211,0
Gondwana University,4024,Gondwana University Department of Management,0402410110,M. B. A.,120,56,45,11,0,0,0,1,8,0,2,0,3,2,7,8,4,3,1,1,0,1,0,1,2,1,11,,0
Gondwana University,4111,"Sarvodaya Shikshan Mandal's Sau Leena Kishor Mamidvar Institute of Management Studies & Research, Chandrapur",0411110110,M. B. A.,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0411110111,5
Gondwana University,4188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",0418810110,M. B. A.,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0418810111,6
Gondwana University,4307,"Renaissance Institute Of Management Studies, Datala New Chandrapur",0430710110,M. B. A.,180,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0430710111,1
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5001,"Department of Management Studies, North Maharashtra University, Jalgaon",0500110110,M. B. A.,60,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0500110111,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5101,"Khandesh College Education Society's Institute of Management & Research, Jalgaon",0510110110,M. B. A.,180,13,12,1,0,0,0,3,0,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0510110111,1
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5101,"Khandesh College Education Society's Institute of Management & Research, Jalgaon",0510163310,(MBA)Pharmaceutical Management,60,20,15,5,0,0,0,4,5,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0510163311,1
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5102,"Godavari Institute of Management & Research, Jalgaon",0510210110,M. B. A.,120,40,35,5,0,0,0,0,6,5,1,0,1,1,0,6,3,3,2,1,0,1,1,1,3,0,10,0510210111,4
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5102,"Godavari Institute of Management & Research, Jalgaon",0510264710,MBA (Health Care and Hospital Management),60,52,43,9,0,0,0,9,5,3,2,0,2,0,7,3,3,1,1,1,0,0,0,3,2,1,6,,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",0510310110,M. B. A.,60,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0510310111,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",0510410110,M. B. A.,90,31,25,6,0,0,0,2,3,1,0,0,0,0,1,3,3,3,1,1,0,1,0,2,3,1,3,0510410111,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5106,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",0510610110,M. B. A.,120,6,4,2,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0510610111,2
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5106,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",0510663210,(MBA)Agribusiness Management,60,14,14,0,0,0,0,0,5,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,3,0510663211,2
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5106,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",0510663610,MBA(FIN TECH),30,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0510663611,1
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5152,"G H Raisoni College of Engineering and Management, Jalgaon",0515210110,M. B. A.,180,38,2,1,35,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0515210111,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5152,"G H Raisoni College of Engineering and Management, Jalgaon",0515264910,MBA (Digital Marketing),30,28,11,2,15,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0515264911,2
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5169,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",0516910110,M. B. A.,60,48,39,9,0,0,0,5,5,2,1,1,1,1,5,4,4,2,1,0,1,0,1,3,1,1,6,0516910111,1
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5169,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",0516962910,MBA ( Finance ),60,51,42,9,0,0,0,4,4,3,1,1,1,1,7,4,6,2,1,1,0,0,0,3,2,1,6,0516962911,3
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5186,"R. C. Patel Institute of Pharmaceutical Education and Research, Shirpur",0518610110,M. B. A.,120,44,4,3,37,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0518610111,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5186,"R. C. Patel Institute of Pharmaceutical Education and Research, Shirpur",0518663310,(MBA)Pharmaceutical Management,60,21,4,1,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0518663311,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5321,"Institute of Management and Science, Sakegaon",0532110110,M. B. A.,60,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0532110111,0
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",0538110110,M. B. A.,60,34,29,5,0,0,0,0,4,1,1,1,1,1,7,3,0,2,1,0,0,1,0,3,2,1,6,0538110111,3
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",5556,DADASAHEB DR.SURESH G.PATIL COLLEGE CHOPDA,0555610170U,M. B. A.,60,50,41,9,0,0,0,5,5,3,1,0,1,1,7,3,6,2,1,0,1,0,1,3,1,0,4,0555610171,2
Mumbai University,3001,"Jamnalal Bajaj Institute of Management Studies, Mumbai",0300110210,M. M. S.,120,4,4,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0300110211,0
Mumbai University,3003,"Alkesh Dinesh Modi Institute for Financial & Management Studies, Mumbai",0300310210,M. M. S.,120,50,37,13,0,0,0,16,2,0,0,0,2,1,3,1,5,2,1,1,0,0,0,1,1,1,5,0300310211,1
Mumbai University,3101,"Bharti Vidyapeeth's Institute of Management Studies & Research, Navi Mumbai",0310110210,M. M. S.,180,49,38,11,0,36,0,10,3,2,0,0,2,0,2,1,7,3,0,1,1,0,0,4,2,0,7,0310110211,3
Mumbai University,3102,"Chetana's Ramprasad Khandelwal Institute of Management & Research, Mumbai",0310210210,M. M. S.,120,24,15,9,0,24,0,3,1,2,0,0,0,0,3,1,3,0,0,0,0,1,0,1,0,0,2,0310210211,1
Mumbai University,3104,"Lala Lajpatrai Institute of Management, Mumbai",0310410210,M. M. S.,240,69,25,5,39,48,0,14,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0310410211,0
Mumbai University,3105,"Mahatma Gandhi Mission's Institute of Management Studies & Research, Kamothe",0310510210,M. M. S.,60,24,22,2,0,0,0,7,1,0,0,0,1,0,4,1,4,2,0,0,0,1,0,0,1,0,4,0310510211,0
Mumbai University,3106,"MET's Institute of Management, Mumbai",0310610210,M. M. S.,180,34,28,6,0,36,0,9,3,1,0,0,0,0,0,1,7,2,0,0,0,0,1,3,1,0,2,0310610211,0
Mumbai University,3107,"Prin. L. N. Welingkar Institute of Management Development & Research, Mumbai",0310710210,M. M. S.,120,16,16,0,0,0,0,9,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0310710211,0
Mumbai University,3108,"Rizvi Institute of Management Studies & Research, Mumbai",0310810210,M. M. S.,120,39,21,3,15,24,0,14,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0310810211,3
Mumbai University,3109,"S.I.E.S. College of Management Studies, Mumbai",0310910210,M. M. S.,180,15,10,1,4,36,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0310910211,2
Mumbai University,3110,"Vivekanand Education Society's Institute of Management Studies & Research, Mumbai",0311010210,M. M. S.,240,50,30,7,13,0,0,22,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0311010211,1
Mumbai University,3113,"Maratha Mandir's Babasaheb Gawde Institute of Management Studies, Mumbai",0311310210,M. M. S.,150,62,53,9,0,30,0,11,3,3,1,1,1,0,8,4,8,1,2,1,0,2,0,3,3,1,14,0311310211,1
Mumbai University,3114,"Mahatma Education Society's Pillai's Institute of Management Studies & Research, New Panvel",0311410110,M. B. A.,240,25,12,1,12,48,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0311410111,1
Mumbai University,3115,"Anjuman-I-Islam's Allana Institute of Management Studies, Mumbai",0311510210,M. M. S.,180,57,30,0,27,36,0,18,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0311510211,1
Mumbai University,3116,"Agnel Charities Agnel Seva Sangha's Fr. C. Rodrigues Inst. of Management. Studies, Vashi, Navi Mumbai",0311610210,M. M. S.,120,43,11,2,30,24,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0311610211,0
Mumbai University,3117,"Gurunanak Institute of Management Studies, Mumbai",0311710210,M. M. S.,180,59,17,3,39,36,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0311710211,2
Mumbai University,3118,"Zagdu Singh Chartitable Trust's Thakur Institute of Management Studies & Research, Mumbai",0311810210,M. M. S.,300,65,27,9,29,60,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0311810211,1
Mumbai University,3119,"St. Francis Institute of Management & Research, Mumbai",0311910210,M. M. S.,180,28,19,7,2,36,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0311910211,5
Mumbai University,3120,"Atharva Educational Trust, Atharva Institute of Management Studies, Mumbai",0312010210,M. M. S.,120,38,30,8,0,24,0,8,1,1,2,0,1,0,4,3,6,1,0,0,0,0,0,1,2,0,7,0312010211,0
Mumbai University,3121,"Sahajeevan Shikshan Sanstha's Madanbhai Sura Institute of Business Management, Khed Dist. Ratnagiri",0312110210,M. M. S.,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0312110211,2
Mumbai University,3123,"Parle Tilak Vidyalaya Asso.'s Institute of Management, Mumbai",0312310210,M. M. S.,120,48,35,13,0,0,0,7,3,2,0,0,0,0,3,2,7,1,2,1,1,1,1,2,2,0,10,0312310211,0
Mumbai University,3127,"NCRD's Sterling Institute of Management Studies, Navi Mumbai",0312710210,M. M. S.,120,14,11,3,0,24,0,4,0,0,0,0,0,0,2,0,3,0,1,1,0,0,0,0,0,0,11,0312710211,2
Mumbai University,3128,"Mandar Education Society's Rajaram Shinde College of Master of Business Adminstration, Chiplun",0312810210,M. M. S.,54,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0312810211,1
Mumbai University,3129,"Mumbai Institute of Management & Research, Mumbai",0312910210,M. M. S.,120,59,48,11,0,24,0,15,2,2,1,1,1,0,3,3,10,2,0,1,1,0,0,2,3,1,9,0312910211,5
Mumbai University,3130,"VPM's Dr. V.N. Bedekar Institute Of Management Studies, Mumbai",0313010210,M. M. S.,180,11,9,2,0,36,0,3,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,18,0313010211,0
Mumbai University,3131,"Hashmatrai and Gangaram Himathmal Mansukhani Institute of Management, Ulhasnagar, Thane",0313110210,M. M. S.,120,36,3,0,33,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0313110211,3
Mumbai University,3133,"Swayamsiddhi Mitra Sangh's College of Management & Research, Thane",0313310210,M. M. S.,210,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,8,0313310211,4
Mumbai University,3134,"Bombay St. Xavier College Soc.'s Xavier Institute of Management & Research, Mumbai",0313410210,M. M. S.,90,7,7,0,0,18,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0313410211,1
Mumbai University,3136,"Oriental Education Society Oriental Institute of Management, Navi Mumbai",0313610210,M. M. S.,120,10,6,0,4,24,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0313610211,2
Mumbai University,3139,"Vidyalankar Institute of Technology,Wadala, Mumbai",0313910210,M. M. S.,120,44,37,7,0,24,0,17,4,2,2,1,2,0,7,2,0,0,0,0,0,0,0,0,0,0,8,0313910211,0
Mumbai University,3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",0314610210,M. M. S.,60,26,21,5,0,0,0,1,1,2,1,0,0,1,5,3,2,0,1,0,1,1,0,1,0,1,6,0314610211,0
Mumbai University,3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat",0314710210,M. M. S.,60,29,29,0,0,0,0,2,2,1,1,1,1,1,6,4,1,2,1,1,0,0,1,3,1,0,6,,0
Mumbai University,3149,"Shree Shankar Narayan Education Trust's Rohidas Patil Institute of Management Studies, Bhayandar",0314910210,M. M. S.,122,64,55,9,0,24,0,5,5,3,2,1,2,1,11,5,4,3,2,0,1,1,0,4,3,2,12,0314910211,4
Mumbai University,3151,"Vishweshwar Education Society's Indira Institute of Business Management, Navi Mumbai",0315110210,M. M. S.,120,17,17,0,0,24,0,3,0,1,2,0,0,1,1,2,5,0,1,0,0,0,0,0,1,0,12,0315110211,1
Mumbai University,3153,"Humera Khan Institute Of Mangement Studies & Reserch, Mumbai",0315310210,M. M. S.,120,1,1,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0315310211,5
Mumbai University,3155,"SYCSPM'S Sinhgad Institute of Business Management, Chandivali, Powai, Mumbai",0315510210,M. M. S.,120,66,61,5,0,0,0,7,2,5,2,2,3,0,6,7,9,4,2,0,1,2,0,5,3,1,12,,0
Mumbai University,3157,"Shree Ghatkopar Sarvajanik Jivdaya Khatur's Aruna Manharlal Shah Institute of Management & Research, Ghatkopar",0315710210,M. M. S.,60,16,15,1,0,0,0,3,1,1,0,0,0,0,0,1,2,0,1,1,0,0,1,1,2,1,6,0315710211,1
Mumbai University,3158,"Pramod Ram Ujaagar Saket Gyanpeeth's, Saket College of Management, Kalyan",0315810210,M. M. S.,120,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0315810211,4
Mumbai University,3159,"JNIESTR's,Rajeev Gandhi College of Management Studies, Navi Mumbai",0315910210,M. M. S.,120,35,33,2,0,24,0,9,3,4,1,1,1,0,8,6,0,0,0,0,0,0,0,0,0,0,11,0315910211,2
