university,college_code,college_name,choice_code,course,intake,cap_seats,si_seats,ms_seats,all_india_seats,minority_seats,institute_seats,hu_open,hu_sc,hu_st,hu_vjdt,hu_ntb,hu_ntc,hu_ntd,hu_obc,hu_sebc,ohu_open,ohu_sc,ohu_st,ohu_vjdt,ohu_ntb,ohu_ntc,ohu_ntd,ohu_obc,ohu_sebc,pwd_total,ews_seats,tfws_choice_code,tfws_seats
Dr. Babasaheb Ambedkar Marathwada University,2001,"Dr. B. A. M.University Dept. Of Management Science, Aurangabad",0200124110,Master in Computer Application,60,10,8,2,0,0,0,2,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1,0200124111,0
Dr. Babasaheb Ambedkar Marathwada University,2005,"Dr. Babasaheb Ambedkar Marathwada Vidyapeeth,(Aurangabad) Sub Section - Osmanabad",0200524110,Master in Computer Application,60,11,9,2,0,0,0,0,0,1,0,0,1,0,5,1,0,0,0,0,0,0,0,0,1,0,4,0200524111,0
Dr. Babasaheb Ambedkar Marathwada University,2008,"Government College of Engineering, Chhatrapati Sambhajinagar",0200824110,Master in Computer Application,60,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0200824111,0
Dr. Babasaheb Ambedkar Marathwada University,2102,"Rajarshi Shahu Institute of Management, Aurangabad",0210224110,Master in Computer Application,60,5,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,5,0210224111,0
Dr. Babasaheb Ambedkar Marathwada University,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",0211324110,Master in Computer Application,180,25,20,5,0,0,0,1,1,0,0,0,0,0,2,4,4,1,2,0,0,0,0,2,2,1,9,0211324111,0
Dr. Babasaheb Ambedkar Marathwada University,2124,"Maratha Education Society's Institute of Management studies & Information Technology, Aurangabad",0212424110,Master in Computer Application,60,8,8,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,2,0,0,3,0212424111,0
Dr. Babasaheb Ambedkar Marathwada University,2259,"Shri Sai Institute of Management & Research, Aurangabad",0225924110,Master in Computer Application,120,7,6,1,0,24,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,12,0225924111,0
Dr. Babasaheb Ambedkar Marathwada University,2569,"Suraj Institute of Management, Beed",0256924110,Master in Computer Application,300,28,25,3,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,1,0,0,1,9,7,1,14,0256924111,0
Dr. Babasaheb Ambedkar Marathwada University,2622,"Jay Bhavani Institute of Management, Badnapur, Jalna",0262224110,Master in Computer Application,60,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,5,0262224111,0
Dr. Babasaheb Ambedkar Marathwada University,2664,"Deogiri College, Chh. Sambhaji Nagar",0266424110,Master in Computer Application,120,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0266424111,0
Dr. Babasaheb Ambedkar Marathwada University,2672,ARTS SCIENCE AND COMMERCE COLLEGE,0267224170U,Master in Computer Application,120,6,6,0,0,24,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,6,0267224171,0
