university,college_code,college_name,choice_code,course,intake,cap_seats,si_seats,ms_seats,all_india_seats,minority_seats,institute_seats,hu_open,hu_sc,hu_st,hu_vjdt,hu_ntb,hu_ntc,hu_ntd,hu_obc,hu_sebc,ohu_open,ohu_sc,ohu_st,ohu_vjdt,ohu_ntb,ohu_ntc,ohu_ntd,ohu_obc,ohu_sebc,pwd_total,ews_seats,tfws_choice_code,tfws_seats
Sant Gadge Baba Amravati University,01005,"Sant Gadge Baba Amravati University,Amravati",0100591510,Seat Reserved Chemical Engineering 0100550710 2 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0100550710S 2 0 0 10 Computer Science and Information Technology Artificial Intelligence and Data Science 0100594310 5 2 1 0 0 1 0 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0100594310S 4 0 0 18 Sant Gadge Baba Amravati University,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Sant Gadge Baba Amravati University,01114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",0111447410,Seat Reserved Civil - Structural Engineering 0111421110 1 2 0 0 0 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0111421110S 4 0 0 13 Computer Science and Engineering 0111424210 4 2 1 1 1 1 0 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0111424210S 4 0 0 20 Information Technology 0111424610 3 2 1 0 1 0 0 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0111424610S 4 0 0 16 Electronics and Telecommunication Engg 0111437210 3 2 1 0 0 1 0 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0111437210S 4 0 0 16 Mechanical (Computer Integrated Manufacturing) Sant Gadge Baba Amravati University,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Sant Gadge Baba Amravati University,01180,"Sanmati Engineering College, Sawargaon Barde, Washim",0118091510,Seat Reserved Structural Engineering 0118021210 1 1 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0118021210S 2 1 0 9 Computer Science and Information Technology Sant Gadge Baba Amravati University,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Dr. Babasaheb Aambedkar Marathwada University,02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",0211397010,"Seat Reserved Artificial Intelligence and Machine Learning 0211394910 3 1 1 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0211394910S 3 0 0 12 Computer Science and Engineering (Data Science and Analytics) Structural Engineering 0211321210 4 2 1 0 0 0 0 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0211321210S 3 0 0 15 Computer Science and Technology 0211325410 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0211325410S 3 0 0 7 Electrical Drives and Control 0211338010 1 1 0 1 0 1 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0211338010S 3 0 0 11 Electronics and Telecommunication 0211338110 3 1 1 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0211338110S 3 0 0 12 Food Processing Technology 0211350410 6 2 1 1 0 1 1 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0211350410S 6 0 0 24 Mechanical Engineering 0211361210 3 1 1 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0211361210S 3 0 0 12 Polymer Science and Technology 0211347510 0 1 1 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0211347510S 3 0 0 9 IL - Institute Level Seats, MI - Minority Seats 12 of 84 Note :- Vacancy position may vary. Candidates are advised to fill all eligible Choice Code of their choice irrespective of vacancy position.",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"Dr. Babasaheb Ambedkar Technological University,Lonere",02114,"Deogiri Institute of Engineering and Management Studies, Aurangabad",0211495110,"Seat Reserved Structural Engineering 0211421210 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0211421210S 3 0 0 4 Computer Science and Engineering 0211424210 3 2 1 0 0 1 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0211424210S 1 0 0 13 Electronics and Telecommunication Engg 0211437210 1 1 1 1 0 0 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0211437210S 4 0 0 13 Mechanical Engineering 0211461210 1 0 1 0 1 1 0 4 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0211461210S 3 0 0 14 Automotive Technology 0211463010 2 2 1 1 1 1 0 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0211463010S 4 0 0 18 Civil Engineering (Computer Aided Structural Engineering) Dr. Babasaheb Ambedkar Technological University,Lonere",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"Dr. Babasaheb Ambedkar Technological University,Lonere",02133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",0213391510,Seat Reserved Control System Engineering 0213329410 0 0 0 0 0 0 1 3 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0213329410S 0 1 0 5 Digital Communications 0213339310 4 2 1 1 0 1 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0213339310S 2 0 0 15 Manufacturing Processing Engineering 0213361610 4 2 1 1 0 1 0 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0213361610S 3 0 0 17 Computer Science and Information Technology Civil Engineering (Computer Aided Structural,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"Dr. Babasaheb Ambedkar Technological University,Lonere",02133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",0213395110,"Engineering) Dr. Babasaheb Ambedkar Technological University,Lonere",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"Dr. Babasaheb Ambedkar Technological University,Lonere",02134,"Peoples Education Society's College of Engineering, Aurangabad",0213495410,Seat Reserved Structural Engineering 0213421210 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0213421210S 4 0 0 9 Electrical Power System 0213429210 0 1 1 0 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0213429210S 4 0 0 11 Advanced Mfg & Mechanical System design 0213490710 5 2 1 0 1 0 0 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0213490710S 3 0 0 17 Computer Science and Engineering (Cyber Security) Electronics and Communication (VLSI,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"Dr. Babasaheb Ambedkar Technological University,Lonere",02134,"Peoples Education Society's College of Engineering, Aurangabad",0213496810,"Design) IL - Institute Level Seats, MI - Minority Seats 15 of 84 Note :- Vacancy position may vary. Candidates are advised to fill all eligible Choice Code of their choice irrespective of vacancy position.",4,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Dr. Babasaheb Aambedkar Marathwada University,02533,"CSMSS Chh. Shahu College of Engineering, Aurangabad",0253396810,Seat Reserved Electronics and Communication (VLSI Design) Electronics and Communication (Advanced,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
