university,college_code,college_name,choice_code,course,intake,cap_seats,si_seats,ms_seats,all_india_seats,minority_seats,institute_seats,hu_open,hu_sc,hu_st,hu_vjdt,hu_ntb,hu_ntc,hu_ntd,hu_obc,hu_sebc,ohu_open,ohu_sc,ohu_st,ohu_vjdt,ohu_ntb,ohu_ntc,ohu_ntd,ohu_obc,ohu_sebc,pwd_total,ews_seats,tfws_choice_code,tfws_seats
"Sant Gadge Baba Amravati University (GCOE, Amravati)",01002,"Government College of Engineering, Amravati",0100239210,Electronic System and Communication,0,0,0,0,0,0,0,3,2,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0100239210S,4
"Sant Gadge Baba Amravati University (GCOE, Amravati)",01002,"Government College of Engineering, Amravati",0100220010,Geo Technical Engineering,0,0,0,0,0,0,0,4,1,1,0,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0100220010S,4
"Sant Gadge Baba Amravati University (GCOE, Amravati)",01002,"Government College of Engineering, Amravati",0100220110,Environmental Engineering,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0100220110S,3
"Sant Gadge Baba Amravati University (GCOE, Amravati)",01002,"Government College of Engineering, Amravati",0100221210,Structural Engineering,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0100221210S,4
"Sant Gadge Baba Amravati University (GCOE, Amravati)",01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0100224210S,4
"Sant Gadge Baba Amravati University (GCOE, Amravati)",01002,"Government College of Engineering, Amravati",0100229210,Electrical Power System,0,0,0,0,0,0,0,5,2,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0100229210S,4
"Sant Gadge Baba Amravati University (GCOE, Amravati)",01002,"Government College of Engineering, Amravati",0100260610,Production Engineering,0,0,0,0,0,0,0,4,2,1,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0100260610S,4
"Sant Gadge Baba Amravati University (GCOE, Amravati)",01002,"Government College of Engineering, Amravati",0100261010,Thermal Engineering,0,0,0,0,0,0,0,4,2,1,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0100261010S,4
Sant Gadge Baba Amravati University,01005,"Sant Gadge Baba Amravati University,Amravati",0100550710,Chemical Engineering,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0100550710S,2
Sant Gadge Baba Amravati University,01005,"Sant Gadge Baba Amravati University,Amravati",0100591510,Computer Science and Information,0,0,0,0,0,0,0,3,1,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0100591510S,4
Sant Gadge Baba Amravati University,01005,"Sant Gadge Baba Amravati University,Amravati",0100594310,Technology Artificial Intelligence and Data Science,0,0,0,0,0,0,0,5,2,1,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0100594310S,4
Sant Gadge Baba Amravati University,01005,"Sant Gadge Baba Amravati University,Amravati",0110124510,Sant Gadge Baba Amravati University Computer Engineering,0,0,0,0,0,0,0,1,1,1,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0110124510S,3
Sant Gadge Baba Amravati University,01005,"Sant Gadge Baba Amravati University,Amravati",0110129210,Electrical Power System,0,0,0,0,0,0,0,3,2,1,0,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0110129210S,4
Sant Gadge Baba Amravati University,01005,"Sant Gadge Baba Amravati University,Amravati",0110134310,Digital Electronics,0,0,0,0,0,0,0,5,2,1,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0110134310S,3
Sant Gadge Baba Amravati University,01005,"Sant Gadge Baba Amravati University,Amravati",0110190710,Advanced Mfg & Mechanical System design,0,0,0,0,0,0,0,4,2,1,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0110190710S,4
Sant Gadge Baba Amravati University,01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110520110,Environmental Engineering,0,0,0,0,0,0,0,1,2,1,1,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0110520110S,4
Sant Gadge Baba Amravati University,01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110521210,Structural Engineering,0,0,0,0,0,0,0,1,2,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0110521210S,1
Sant Gadge Baba Amravati University,01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110524210,Computer Science and Engineering,0,0,0,0,0,0,0,0,2,1,1,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0110524210S,4
